iteration,problem_size,number_of_nodes,execution_time_in_ms
1,600000,1,704
1,3600000,1,3746
1,6000000,1,6245
1,12000000,1,12264
1,24000000,1,25177
1,600000,2,551
1,3600000,2,2843
1,6000000,2,4681
1,12000000,2,9170
1,24000000,2,17869
1,600000,4,507
1,3600000,4,2418
1,6000000,4,3931
1,12000000,4,7522
1,24000000,4,14215
1,600000,6,519
1,3600000,6,2449
1,6000000,6,3876
1,12000000,6,7767
1,24000000,6,14131
2,600000,1,686
2,3600000,1,3680
2,6000000,1,6080
2,12000000,1,12408
2,24000000,1,25420
2,600000,2,563
2,3600000,2,2869
2,6000000,2,4737
2,12000000,2,9162
2,24000000,2,17993
2,600000,4,532
2,3600000,4,2595
2,6000000,4,4035
2,12000000,4,7863
2,24000000,4,14765
2,600000,6,538
2,3600000,6,2525
2,6000000,6,3930
2,12000000,6,7605
2,24000000,6,14209
3,600000,1,715
3,3600000,1,3737
3,6000000,1,6128
3,12000000,1,12474
3,24000000,1,25873
3,600000,2,554
3,3600000,2,2852
3,6000000,2,4687
3,12000000,2,9114
3,24000000,2,17867
3,600000,4,483
3,3600000,4,2466
3,6000000,4,3849
3,12000000,4,7460
3,24000000,4,14392
3,600000,6,519
3,3600000,6,2446
3,6000000,6,4006
3,12000000,6,7660
3,24000000,6,14251
